Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2010-07-08,0.000000,0.000000,0.00000000,0.01047495,1.000000,0.884559
2010-07-09,0.000000,0.000000,0.00000000,0.01999281,1.000000,0.902244
2010-07-12,0.000000,0.000000,0.00000000,0.00544390,1.000000,0.907156
2010-07-13,0.000000,0.000000,0.00000000,0.02454873,1.000000,0.929425
2010-07-14,0.000000,0.000000,0.00000000,0.01162852,1.000000,0.940233
2010-07-15,0.000000,0.000000,0.00000000,0.00243766,1.000000,0.942525
2010-07-16,0.000000,0.000000,-0.00000000,-0.05507273,1.000000,0.890617
2010-07-19,0.000000,0.000000,0.00000000,0.01617950,1.000000,0.905027
2010-07-20,0.000000,0.000000,0.00000000,0.02297842,1.000000,0.925823
2010-07-21,0.000000,0.000000,-0.00000000,-0.02599955,1.000000,0.901752
2010-07-22,0.000000,0.000000,0.00000000,0.05011802,1.000000,0.946946
2010-07-23,0.000000,0.000000,0.00000000,0.01279567,1.000000,0.959063
2010-07-26,0.000000,0.000000,0.00000000,0.01553718,1.000000,0.973964
2010-07-27,0.000000,0.000000,-0.00000000,-0.00067271,1.000000,0.973309
2010-07-28,0.000000,0.000000,-0.00000000,-0.01530977,1.000000,0.958408
2010-07-29,0.000000,0.000000,-0.00000000,-0.01503515,1.000000,0.943998
2010-07-30,0.000000,0.000000,0.00000000,0.00503128,1.000000,0.948748
2010-08-02,0.000000,0.000000,0.00000000,0.03658969,1.000000,0.983462
2010-08-03,0.000000,0.000000,-0.00000000,-0.00782578,1.000000,0.975766
2010-08-04,0.000000,0.000000,0.00000000,0.02030507,1.000000,0.995579
2010-08-05,0.000000,0.000000,-0.00000000,-0.00476946,1.000000,0.990830
2010-08-06,0.000000,0.000000,-0.00000000,-0.00330519,1.000000,0.987555
2010-08-09,0.000000,0.000000,0.00000000,0.01276716,1.000000,1.000164
2010-08-10,0.000000,0.000000,-0.00000000,-0.01555372,1.000000,0.984607
2010-08-11,0.000000,0.000000,-0.00000000,-0.05537987,1.000000,0.930080
2010-08-12,0.000000,0.000000,-0.00000000,-0.01690136,1.000000,0.914360
2010-08-13,0.000000,0.000000,-0.00000000,-0.01396790,1.000000,0.901589
2010-08-16,0.000000,0.000000,0.00000000,0.00381382,1.000000,0.905027
2010-08-17,0.000000,0.000000,0.00000000,0.02533013,1.000000,0.927952
2010-08-18,0.000000,0.000000,0.00000000,0.00741086,1.000000,0.934829
2010-08-19,0.000000,0.000000,-0.00000000,-0.02995206,1.000000,0.906828
2010-08-20,0.000000,0.000000,0.00000000,0.00252745,1.000000,0.909120
2010-08-23,0.000000,0.000000,-0.00000000,-0.01963221,1.000000,0.891272
2010-08-24,0.000000,0.000000,-0.00000000,-0.03619296,1.000000,0.859015
2010-08-25,0.000000,0.000000,0.00000000,0.01772740,1.000000,0.874243
2010-08-26,0.000000,0.000000,-0.00000000,-0.02303819,1.000000,0.854102
2010-08-27,0.000000,0.000000,0.00000000,0.02511509,1.000000,0.875553
2010-08-30,0.000000,0.000000,-0.00000000,-0.02169409,1.000000,0.856558
2010-08-31,0.000000,0.000000,-0.00000000,-0.00554362,1.000000,0.851810
2010-09-01,0.000000,0.000000,0.00000000,0.05728480,1.000000,0.900606
2010-09-02,0.000000,0.000000,0.00000000,0.02327276,1.000000,0.921565
2010-09-03,0.000000,0.000000,0.00000000,0.03411525,1.000000,0.953005
2010-09-07,0.000000,0.000000,-0.00000000,-0.01477624,1.000000,0.938923
2010-09-08,0.000000,0.000000,0.00000000,0.02371823,1.000000,0.961192
2010-09-09,0.000000,0.000000,0.00000000,0.00749566,1.000000,0.968397
2010-09-10,0.000000,0.000000,0.00000000,0.00727016,1.000000,0.975438
2010-09-13,0.000000,0.000000,0.00000000,0.02870609,1.000000,1.003439
2010-09-14,0.000000,0.000000,0.00000000,0.00799576,1.000000,1.011462
2010-09-15,0.000000,0.000000,0.00000000,0.01278947,1.000000,1.024398
2010-09-16,0.000000,0.000000,0.00000000,0.00767296,1.000000,1.032258
2010-09-17,0.000000,0.000000,0.00000000,0.00650340,1.000000,1.038971
2010-09-20,0.000000,0.000000,0.00000000,0.03483134,1.000000,1.075160
2010-09-21,0.000000,0.000000,-0.00000000,-0.00228487,1.000000,1.072703
2010-09-22,0.000000,0.000000,-0.00000000,-0.00335874,1.000000,1.069100
2010-09-23,0.000000,0.000000,-0.00000000,-0.00076534,1.000000,1.068282
2010-09-24,0.000000,0.000000,0.00000000,0.04031284,1.000000,1.111348
2010-09-27,0.000000,0.000000,-0.00000000,-0.01031459,1.000000,1.099885
2010-09-28,0.000000,0.000000,0.00000000,0.00148947,1.000000,1.101523
2010-09-29,0.000000,0.000000,-0.00000000,-0.00579775,1.000000,1.095137
2010-09-30,0.000000,0.000000,-0.00000000,-0.00882213,1.000000,1.085475
2010-10-01,0.000000,0.000000,-0.00000000,-0.00211119,1.000000,1.083183
2010-10-04,0.000000,0.000000,-0.00000000,-0.02191965,1.000000,1.059440
2010-10-05,0.000000,0.000000,0.00000000,0.04806699,1.000000,1.110365
2010-10-06,0.000000,0.000000,-0.00000000,-0.01592687,1.000000,1.092680
