Date,Close,Contribution,CumulativeContribution,DcaOnlyValue,DcaStrategyValue,StrategyPosition,TrendScore
2026-01-02,70.085449,0.00,0.00,0.00,0.00,1.250000,0.800000
2026-01-05,71.185219,100.00,100.00,99.95,99.94,1.250000,0.800000
2026-01-06,72.444962,0.00,100.00,101.72,102.15,1.250000,1.000000
2026-01-07,72.574928,0.00,100.00,101.90,102.38,1.250000,0.800000
2026-01-08,71.735107,0.00,100.00,100.72,100.90,1.250000,0.800000
2026-01-09,73.124817,0.00,100.00,102.67,103.34,1.250000,1.000000
2026-01-12,73.254791,100.00,200.00,202.81,203.51,1.250000,1.000000
2026-01-13,72.994850,0.00,200.00,202.09,202.60,1.250000,1.000000
2026-01-14,71.475159,0.00,200.00,197.88,197.33,1.250000,1.000000
2026-01-15,71.925072,0.00,200.00,199.12,198.88,1.250000,1.000000
2026-01-16,71.735107,0.00,200.00,198.60,198.23,1.250000,1.000000
2026-01-20,68.715736,0.00,200.00,190.24,187.80,1.250000,1.000000
2026-01-21,70.525360,0.00,200.00,195.25,193.98,1.250000,1.000000
2026-01-22,71.595139,0.00,200.00,198.21,197.66,1.250000,1.000000
2026-01-23,72.035049,0.00,200.00,199.43,199.17,1.250000,1.000000
2026-01-26,72.644920,100.00,300.00,301.07,301.22,1.250000,1.000000
2026-01-27,73.944649,0.00,300.00,306.45,307.96,1.250000,1.000000
2026-01-28,74.344566,0.00,300.00,308.11,310.04,1.250000,1.000000
2026-01-29,73.504738,0.00,300.00,304.63,305.66,1.250000,0.800000
2026-01-30,71.695114,0.00,300.00,297.13,296.25,1.250000,0.800000
2026-02-02,72.714912,100.00,400.00,401.31,401.46,1.250000,1.000000
2026-02-03,70.445374,0.00,400.00,388.78,385.79,1.250000,0.800000
2026-02-04,67.965897,0.00,400.00,375.10,368.77,1.000000,0.600000
2026-02-05,66.026299,0.00,400.00,364.39,358.24,1.000000,0.600000
2026-02-06,68.775726,0.00,400.00,379.57,373.16,1.000000,0.600000
2026-02-09,69.815506,100.00,500.00,485.26,478.69,1.250000,0.800000
2026-02-10,69.165642,0.00,500.00,480.74,473.12,1.250000,0.800000
2026-02-11,69.505569,0.00,500.00,483.10,475.97,1.000000,0.600000
2026-02-12,66.676163,0.00,500.00,463.44,456.59,1.000000,0.600000
2026-02-13,66.906113,0.00,500.00,465.03,458.16,1.000000,0.600000
2026-02-17,66.756142,0.00,500.00,463.99,457.14,1.000000,0.600000
2026-02-18,67.735939,0.00,500.00,470.80,463.85,1.000000,0.600000
2026-02-19,67.226044,0.00,500.00,467.26,460.30,1.250000,0.800000
2026-02-20,68.385803,0.00,500.00,475.32,470.22,1.250000,0.800000
2026-02-23,66.736145,100.00,600.00,563.80,555.98,1.250000,0.800000
2026-02-24,68.115860,0.00,600.00,575.46,570.35,1.250000,0.800000
2026-02-25,70.065460,0.00,600.00,591.93,590.75,1.250000,0.800000
2026-02-26,68.425797,0.00,600.00,578.08,573.47,1.250000,0.800000
2026-02-27,67.975883,0.00,600.00,574.28,568.69,1.000000,0.600000
2026-03-02,68.115860,100.00,700.00,675.41,669.81,1.000000,0.600000
2026-03-03,66.666161,0.00,700.00,661.03,655.55,1.000000,0.600000
2026-03-04,68.635757,0.00,700.00,680.56,674.92,1.000000,0.600000
2026-03-05,68.245834,0.00,700.00,676.70,671.09,1.000000,0.600000
2026-03-06,66.176262,0.00,700.00,656.18,650.73,1.000000,0.600000
2026-03-09,67.925903,100.00,800.00,773.48,767.79,1.250000,0.800000
2026-03-10,67.895912,0.00,800.00,773.13,767.27,1.000000,0.600000
2026-03-11,67.885910,0.00,800.00,773.02,767.16,1.000000,0.600000
2026-03-12,65.566391,0.00,800.00,746.61,740.95,1.000000,0.600000
2026-03-13,64.746559,0.00,800.00,737.27,731.68,1.000000,0.600000
2026-03-16,66.176262,100.00,900.00,853.50,847.79,1.000000,0.600000
2026-03-17,66.836121,0.00,900.00,862.01,856.14,1.250000,0.800000
2026-03-18,64.936516,0.00,900.00,837.51,825.61,1.000000,0.600000
2026-03-19,64.516609,0.00,900.00,832.10,820.27,1.000000,0.600000
2026-03-20,62.117107,0.00,900.00,801.15,789.51,0.350000,0.200000
2026-03-23,63.566807,100.00,1000.00,919.80,895.94,0.350000,0.200000
2026-03-24,62.626999,0.00,1000.00,906.20,891.30,0.350000,0.200000
2026-03-25,63.430000,0.00,1000.00,917.82,895.30,0.350000,0.200000
2026-03-26,60.430000,0.00,1000.00,874.41,880.48,0.350000,0.200000
2026-03-27,58.049999,0.00,1000.00,839.97,868.34,0.350000,0.200000
2026-03-30,57.160000,100.00,1100.00,927.04,963.66,0.350000,0.200000
2026-03-31,61.000000,0.00,1100.00,989.32,986.31,0.343997,0.200000
2026-04-01,62.490002,0.00,1100.00,1013.49,994.59,0.347520,0.200000
2026-04-02,62.599998,0.00,1100.00,1015.27,995.20,0.347162,0.200000
2026-04-06,63.349998,100.00,1200.00,1127.38,1099.32,0.350000,0.200000
2026-04-07,63.389999,0.00,1200.00,1128.10,1099.57,0.350000,0.200000
2026-04-08,67.080002,0.00,1200.00,1193.76,1121.78,0.695797,0.400000
2026-04-09,68.010002,0.00,1200.00,1210.31,1132.35,1.153597,0.800000
2026-04-10,68.190002,0.00,1200.00,1213.52,1135.78,1.196685,0.800000
2026-04-13,69.589996,100.00,1300.00,1338.38,1263.62,1.194765,0.800000
2026-04-14,72.099998,0.00,1300.00,1386.65,1318.07,1.170810,1.000000
2026-04-15,74.110001,0.00,1300.00,1425.31,1361.08,1.154590,1.000000
2026-04-16,74.800003,0.00,1300.00,1438.58,1375.69,1.195959,1.000000
2026-04-17,76.730003,0.00,1300.00,1475.70,1418.14,1.192844,1.000000
2026-04-20,76.269997,100.00,1400.00,1566.80,1507.89,1.250000,1.000000
2026-04-21,75.669998,0.00,1400.00,1554.48,1493.06,1.250000,1.000000
2026-04-22,78.180000,0.00,1400.00,1606.04,1554.96,1.250000,1.000000
2026-04-23,77.300003,0.00,1400.00,1587.96,1533.08,1.248036,1.000000
2026-04-24,80.239998,0.00,1400.00,1648.36,1605.84,1.250000,1.000000
2026-04-27,80.290001,100.00,1500.00,1749.34,1707.03,1.250000,1.000000
2026-04-28,78.669998,0.00,1500.00,1714.04,1663.97,1.250000,1.000000
2026-04-29,79.639999,0.00,1500.00,1735.17,1689.61,1.250000,1.000000
2026-04-30,81.050003,0.00,1500.00,1765.90,1727.00,1.250000,1.000000
2026-05-01,82.599998,0.00,1500.00,1799.67,1768.28,1.250000,1.000000
2026-05-04,82.279999,100.00,1600.00,1892.64,1859.65,1.250000,1.000000
2026-05-05,84.389999,0.00,1600.00,1941.18,1919.26,1.250000,1.000000
2026-05-06,87.849998,0.00,1600.00,2020.77,2017.61,1.250000,1.000000
2026-05-07,87.660004,0.00,1600.00,2016.40,2012.15,1.250000,1.000000
2026-05-08,91.720001,0.00,1600.00,2109.79,2128.63,1.250000,1.000000
2026-05-11,92.260002,100.00,1700.00,2222.16,2244.23,1.250000,1.000000
2026-05-12,90.690002,0.00,1700.00,2184.34,2196.49,1.250000,1.000000
2026-05-13,92.550003,0.00,1700.00,2229.14,2252.79,1.250000,1.000000
